Site_Name,Date,do_percent,pH,Nitrate,Nitrite,Ammonia,Phosphorus,Chloride,Year,Month,soluble_nitrogen
Adams Creek:  Broken Arrow High School,2010-01-14,78.0,7.5,,,0.2,0.007,95,2010,1,0.53
Adams Creek:  Broken Arrow High School,2010-02-16,70.0,8.0,,,0.1,0.007,95,2010,2,0.42999999999999994
Adams Creek:  Broken Arrow High School,2010-03-16,88.0,7.7,,,0.1,0.007,100,2010,3,0.42999999999999994
Adams Creek:  Broken Arrow High School,2010-04-22,90.0,8.0,0.5,0.5,0.1,0.007,80,2010,4,1.1
Adams Creek:  Broken Arrow High School,2018-01-22,125.0,8.0,0.3,0.03,0.03,0.005,55,2018,1,0.36
Adams Creek:  Broken Arrow High School,2018-06-28,100.0,7.5,0.3,0.03,0.03,0.005,40,2018,6,0.36
Adams Creek:  Broken Arrow High School,2018-09-05,103.0,7.5,0.3,0.03,0.03,0.005,35,2018,9,0.36
Adams Creek:  Broken Arrow High School,2020-01-19,97.0,7.8,1.5,0.03,0.03,0.033,35,2020,1,1.56
Adams Creek:  Broken Arrow High School,2020-02-22,131.0,7.8,0.3,0.03,0.03,0.033,50,2020,2,0.36
Adams Creek:  Broken Arrow High School,2020-05-18,90.0,7.7,0.3,0.03,0.1,0.027,25,2020,5,0.42999999999999994
Adams Creek:  Broken Arrow High School,2020-06-17,124.0,8.0,0.3,0.03,0.1,0.02,40,2020,6,0.42999999999999994
Adams Creek:  Broken Arrow High School,2020-09-14,,8.0,0.3,0.03,0.03,0.005,35,2020,9,0.36
